decimals,logo,tokenHash,transactionHash,optionBuyerAddr,transactionTimeStamp,premiumPaid,contractAmount,Ticker,Expiration_date,Strike,Instrument,Reference_price,Payoff,NetProfit
8,,0xedbdc563e6bae763f5eef27bb9871abf1960008c,0x224f062a14999dd54b8edf3b084e4f1d975f1ed688bdecf369cb1a62c0c278f1,0x2de1970cfd69e0b7dfe0be3014a85eb0579e0815,1686565775,56172.15,5000,BNB,2023/7/28,200,Put,NaN,NaN,NaN
8,,0xedbdc563e6bae763f5eef27bb9871abf1960008c,0x377bdb20946daa0a2a832f6be6020388a918247bcc21e9ac517606ca75dfa105,0x2478709280e8539da2527534f74f46ce053ae093,1686552299,5535.564025,600,BNB,2023/7/28,200,Put,NaN,NaN,NaN
8,,0xa1599844c7ee1053943813b3ff3b1027f92dd50a,0x3bbd3344eb0f094d3d9aa2903ac7dff272ba40618711cd05a7dd0ebe96438d9e,0x816504a6bb69f86e68ea64606a2b35bd146bd5cf,1686335039,7673.644,100,ETH,2023/7/28,1900,Call,NaN,NaN,NaN
8,,0xb40142cdaf3a92c9f8d802a70cd0caffc299f991,0x1f59e606e0e08503b261fe9541202189964be61524d816df73dcfb5163e179fb,0x2de1970cfd69e0b7dfe0be3014a85eb0579e0815,1687265531,45607.08876,1000000,MATIC,2023/7/28,0.5,Put,NaN,NaN,NaN
8,,0x75d4bdb689b390a1d76f6bb5f4a26206a6fdc4ca,0xf9791d7c20435aebfa1a8864cf5030d31cf820364b0a2a2187ef9d812c460eeb,0xc0b59dba518bb4b5761f01556ecd40ee8c3b67fe,1687280159,17760,800000,MATIC,2023/7/7,0.54,Put,NaN,NaN,NaN
8,,0x75d4bdb689b390a1d76f6bb5f4a26206a6fdc4ca,0x0d55eaab5c30c8813a8aa7ab283982c6bb2052fcecc522ae398196bff0e68de2,0x2de1970cfd69e0b7dfe0be3014a85eb0579e0815,1687276391,26400,800000,MATIC,2023/7/7,0.54,Put,NaN,NaN,NaN
8,,0x1837fe0e54ce62106a1495f39a5ed8013ab0f68f,0xb6b7ef1472f24e7b82459ea622d87bf6076ea704af4db2468599716ee168783d,0xcab0adf6d2dcd3fbd246de46aecf68e860e7d3cc,1686196439,3191.664,483,BNB,2023/6/30,235,Put,238.6,0,-3191.664
8,,0x44b5539c2b42c95e23b0c3988e0f96d5f0c975e8,0x27d895e1b47a43c722a8d9baf9a9e5b9de8ac4b02790dbe2aeccc771b7bae8b8,0xd54f7ab07175d9effc4b72581517800b47ee7094,1684127495,1021.436511,100,BNB,2023/6/30,280,Put,238.6,41.4,3118.563489
8,,0xcd807ec98693b85144950caf2a660e8416bede13,0xaff06d625f1fa2af3c4faa4cfb824b1fef5feccff20ffc9b00377b8c5a0c4920,0xf217de9e1442b1f61cee9dac2a07bea96d83e06c,1687799159,9820.87194,500000,MATIC,2023/6/30,0.65,Put,0.65,0,-9820.87194
8,,0x37aa811edcb46aebab18c9ed0c1995f8886b26fc,0xab4b237006a753e6fe3adfb6fe497af177a4ce551862f0da43ac06c1a97f59d5,0xa0b4ed5ccfc91ef092636aa33807962fc3ace05c,1687268351,2400.93544,250000,MATIC,2023/6/30,0.54,Put,0.65,0,-2400.93544
8,,0x06ffdcb8bd0016f5f3e1f45054c6a8738ecbe2a0,0x9fa43026c3ea059f40b9f344c04e2e4a4387f6423fec3e1c8f814420cd58ed1c,0xa0b4ed5ccfc91ef092636aa33807962fc3ace05c,1687269443,2400.93544,250000,MATIC,2023/6/30,0.66,Call,0.65,0,-2400.93544
8,,0xe5b284a2b69c08f5f879640d85d3d69fa723f551,0x1886e90924c7eaa411cd76925ae93f2a66fb66b1569abc25cf53d078bafef316,0x7ca28c291c806c955f48cdd7445e65fd702acec6,1687443407,2915.19216,432,BNB,2023/6/30,230,Put,238.6,0,-2915.19216
8,,0xd5e3e2aa148b511c66221218eb9b537dadc2077f,0xa88d4c73e3a69ae71ff4fa234adcf4ab459111ed4fdd772e7e44bbbd7baf995b,0xf217de9e1442b1f61cee9dac2a07bea96d83e06c,1686898331,3183.95696,20,WBTC,2023/6/23,27000,Call,30019.61,60392.2,57208.24304
8,,0x1326d3253e609bd186d7ee28a8eebbda12143864,0xc229ba4cb681923f1c9a1f6df06d0cb05c6d74b11e4d2facd4950b5bb8e9b2b1,0xca695144ed80d2e5f10c8938c08dffbf2516a170,1685467523,1754.054141,25000,LDO,2023/6/16,2.5,Call,1.724,0,-1754.054141
8,,0x8032f0876de32a2f94a78b7f94aa66857a2c5a9d,0xf5a49bda166d0793475c8e5c0a15619c528c88ed11341855a37d9a906330ed65,0x57bfaa4781e2f5ad8955fe01e2bb2e5c40f6c354,1685695379,200,10000,APE,2023/6/16,3.7,Call,2.083,0,-200
8,,0x3ee3d1989f5334c4a851d2bf9ea99757ae796779,0x7506ff7e8b0a7ac5ed7747fc789d2f3204b0ae1891f6386275c72ebde52cb9a9,0xca695144ed80d2e5f10c8938c08dffbf2516a170,1685468855,1489.52707,12500,LDO,2023/6/16,2.3,Call,1.724,0,-1489.52707
8,,0x0938b8d8951905546c8d055072e11e672fb2970f,0x69245c9d5d8b2ece39d86af88e576b4012f55c7ad1f739ff759e6a78f252dd7e,0x2de1970cfd69e0b7dfe0be3014a85eb0579e0815,1686224927,15813.28793,375000,LDO,2023/6/14,2,Put,1.775,84375,68561.71207
8,,0x6b5bdc2bf75762fc3eb10885ef0ae7bbcbf91790,0xfb72c70ac33827fdab7540d2b0e03ec806a173f0d3f5c9abe68da5fd50fca691,0x2de1970cfd69e0b7dfe0be3014a85eb0579e0815,1686223547,16867.50712,400000,LDO,2023/6/14,2.4,Call,1.775,0,-16867.50712
8,,0x8c8e67daebd6a783192f20a901b913b60b6ac662,0x19f5d347015353e6865ee6e2c9fb2ec10d93d81c2f5c39e0aea0ec024e1d1659,0x2d9fff5a0d0494795b1e8da1e46ce02fe64e3df4,1684825091,3039.253806,100,ETH,2023/6/9,2000,Call,1842.41,0,-3039.253806
8,,0xe504375d2506885f5c0cd9c245c0eee34aa03907,0xd998817b92fa136c3f34770029d90f113dc12b76318a34fabe9b5531d4934d67,0xd54f7ab07175d9effc4b72581517800b47ee7094,1684246571,2993.702125,5000,LTC,2023/6/2,120,Call,95.06,0,-2993.702125
8,,0x9ee8c9c8b65e8b041d86e3c6b848ed880f1a4ebd,0x7ca303671531630115e54e167447d2230de752a06865f12b4d437f4a717098a4,0x684f9137ca0d062f2f8adcf725711e6994a732fa,1684171403,17759.05261,73333,LDO,2023/5/26,2.1,Call,1.965,0,-17759.05261
8,,0x903dad7c728b9cc03c9506451357808ef57e7cd7,0xa758fd195149ae207a4f77c37bd2a42bf17164cef5ab9572fad7d54aa89983e2,0xaacfea9af1234d88ac0b0229a211e6d6daa29029,1684149935,851.058,300,LTC,2023/5/26,92,Call,87.02,0,-851.058
8,,0x23cd97b31ba984893d9d3ebd512c4d6bd061f2a1,0x3c760c164e700025cdf9f82da46366074d9e37a668de1eb199abd4db1de6a4d8,0xd0d542aaa6de5b20096fbd7da0dcf87f0f2cd858,1684070315,89.35,1000,APT,2023/5/26,10,Call,7.9811,0,-89.35
8,,0x5102456d8f534c518674ca67e448ed467a172e97,0xa02e38c1170997a1e4aa85f6b6119ce368cb0f6d2c2b0dc4d2e9e003db11ac1a,0x57bfaa4781e2f5ad8955fe01e2bb2e5c40f6c354,1683901619,6125,125000,LDO,2023/5/26,1.6,Put,1.965,0,-6125
8,,0x40fbcbf2542320266c4e0a96aa181479372b4e77,0x3cfad46119062e28ada5f8ef4b1cb04a0705e8592301fa85c6fd3ba3a99cd6b0,0x81ff7322ca05bcb10eb0f076288432f75b4bdd9c,1683578327,875,35,ETH,2023/5/12,1875,Call,1760.71,0,-875
8,,0x83baea43ba574550e5b587a5590d70cb1e55b9fd,0x1202a7e972280d0a4378c8616e0a1fc4bcdcdf692b25a2f52bd4a84f1ad41591,0x76153d209f2e780721c665f24435d54a14315eaa,1683536039,1,1,ETH,2023/5/12,1850,Call,1760.71,0,-1
8,,0x9c187a94f01f59d00963831f3f33a4472df64f2a,0xb12afffbf08cef47afda48a2288024406875908dc25001c9951edc0d9aca5140,0x3e26b4e23e9f79568adf815a9380ff3ebd766e6b,1681853183,0.367648,0,ETH,2023/4/21,2300,Call,1920.67,0,-0.367648
8,,0xe0e25cae6ac37a1d81bc55edb373f4037b63c80c,0x258606f0ab9b5c1f403b3922db7efc4ee0fd9898960656cde3da47fb93c25403,0xc0b59dba518bb4b5761f01556ecd40ee8c3b67fe,1681492235,33182.35452,9000000,DOGE,2023/4/21,0.1,Call,0.08418,0,-33182.35452
8,,0xf9491929e4b78f4d38b653a9fe1f9f35e31a5da5,0xc1edafffc917a4ec51768faae87ac128ecddb40e871711cb35f71a03d3ba1c41,0x76153d209f2e780721c665f24435d54a14315eaa,1681196687,12,1,ETH,2023/4/14,1900,Call,2108.22,208.22,196.22
8,,0xd3f3782787e78e587e497c1b12336a4b3dc8801d,0x0e32e75cf8e5295188b075729b31682867661c7d85dcaf7ab4a2b2fc7da30a7a,0x76153d209f2e780721c665f24435d54a14315eaa,1681383299,0.013607,1,LDO,2023/4/14,2.3,Call,2.559,0.259,0.245393
8,,0xf9491929e4b78f4d38b653a9fe1f9f35e31a5da5,0x092274331d3fab6e670125bc64e3c5b1ca864c4931ea50489f89229d25b865be,0xadbe48f1e9d8feaee814f5b1605d8cd1dd2c7a90,1681223795,50.766198,1,ETH,2023/4/14,1900,Call,2108.22,208.22,157.453802
8,,0xf9491929e4b78f4d38b653a9fe1f9f35e31a5da5,0x58855f268162177e49a53e8c90ec0b1eca087487239abe5297e21acd21ebd959,0x76153d209f2e780721c665f24435d54a14315eaa,1681210391,12.767232,1,ETH,2023/4/14,1900,Call,2108.22,208.22,195.452768
8,,0xf9491929e4b78f4d38b653a9fe1f9f35e31a5da5,0xeacaeec18d9a0c505f92e32387868fa28db7ce19e598984d47a195eb90df56f4,0xf8368119bb1073cf01b841848725d81b542a4c19,1681199111,10,1,ETH,2023/4/14,1900,Call,2108.22,208.22,198.22
8,,0xf9491929e4b78f4d38b653a9fe1f9f35e31a5da5,0xccd92f9237d6d00148f7402ef0cee1a09ee87da7c2f1684364022ce4d475b4c5,0x76153d209f2e780721c665f24435d54a14315eaa,1681197503,12,1,ETH,2023/4/14,1900,Call,2108.22,208.22,196.22
8,,0x40e8dad0a5c0d3ff6be4aaa74c221fdf3ac98095,0x488a2122c114a1b19f64a6b8ff01795cd942d59cf66e2ddfd9c6690e1e14e5d6,0x76153d209f2e780721c665f24435d54a14315eaa,1681101071,12,1,ETH,2023/4/14,1850,Call,2108.22,258.22,246.22
